num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
8,205679,"",23.0305,178838,178838,PP
8,205657,"",23.114,178838,178838,PP
8,205615,"",23.1971,178838,178838,PP
8,205547,"",23.2758,178838,178838,PP
8,205397,"",23.3556,178838,178838,PP
8,205397,"",23.4285,178838,178838,PP
8,205397,"",23.5145,178838,178838,PP
8,205391,"",23.6025,178838,178838,PP
8,205212,"",23.6866,178838,178838,PP
8,205190,"",23.7614,178838,178838,PP
8,205168,"",23.844,178838,178838,PP
8,205120,"",23.9274,178838,178838,PP
8,205120,"",24.0134,178838,178838,PP
8,205004,"",24.1069,178838,178838,PP
8,204898,"",24.1848,178838,178838,PP
8,204745,"",24.2647,178838,178838,PP
8,204704,"",24.3372,178838,178838,PP
8,204704,"",24.4128,178838,178838,PP
8,204669,"",24.4949,178838,178838,PP
8,204632,"",24.5726,178838,178838,PP
8,204622,"",24.6496,178838,178838,PP
8,204622,"",24.7367,178838,178838,PP
8,204582,"",24.8118,178838,178838,PP
8,204435,"",24.8872,178838,178838,PP
8,204435,"",24.9709,178838,178838,PP
8,204435,"",25.0519,178838,178838,PP
8,204409,"",25.1361,178838,178838,PP
8,204207,"",25.2205,178838,178838,PP
8,204126,"",25.299,178838,178838,PP
8,204093,"",25.3822,178838,178838,PP
8,204093,"",25.4574,178838,178838,PP
8,204093,"",25.5395,178838,178838,PP
8,203923,"",25.6143,178838,178838,PP
8,203888,"",25.7023,178838,178838,PP
8,203888,"",25.7869,178838,178838,PP
8,203777,"",25.8623,178838,178838,PP
8,203777,"",25.9481,178838,178838,PP
8,203777,"",26.0428,178838,178838,PP
8,203679,"",26.1323,178838,178838,PP
8,203646,"",26.2263,178838,178838,PP
8,203646,"",26.3127,178838,178838,PP
8,203549,"",26.4051,178838,178838,PP
8,203462,"",26.4799,178838,178838,PP
8,203373,"",26.5598,178838,178838,PP
8,203313,"",26.6363,178838,178838,PP
8,203255,"",26.723,178838,178838,PP
8,203254,"",26.802,178838,178838,PP
8,203242,"",26.8855,178838,178838,PP
8,203064,"",26.967,178838,178838,PP
8,202922,"",27.046,178838,178838,PP
8,202896,"",27.1277,178838,178838,PP
8,202875,"",27.2031,178838,178838,PP
8,202719,"",27.2773,178838,178838,PP
8,202719,"",27.3636,178838,178838,PP
8,202706,"",27.4429,178838,178838,PP
8,202693,"",27.5185,178838,178838,PP
8,202676,"",27.5977,178838,178838,PP
8,202542,"",27.6793,178838,178838,PP
8,202489,"",27.7633,178838,178838,PP
8,202408,"",27.845,178838,178838,PP
8,202372,"",27.9271,178838,178838,PP
8,202206,"",28.0087,178838,178838,PP
8,202205,"",28.0937,178838,178838,PP
8,202189,"",28.1767,178838,178838,PP
8,202158,"",28.2641,178838,178838,PP
8,202092,"",28.3394,178838,178838,PP
8,202092,"",28.4167,178838,178838,PP
8,202004,"",28.494,178838,178838,PP
8,201981,"",28.5795,178838,178838,PP
8,201974,"",28.6699,178838,178838,PP
8,201974,"",28.7484,178838,178838,PP
8,201974,"",28.8444,178838,178838,PP
8,201964,"",28.9166,178838,178838,PP
8,201925,"",29.0023,178838,178838,PP
8,201906,"",29.0978,178838,178838,PP
8,201866,"",29.1789,178838,178838,PP
8,201866,"",29.2776,178838,178838,PP
8,201866,"",29.3594,178838,178838,PP
8,201866,"",29.4361,178838,178838,PP
8,201832,"",29.5179,178838,178838,PP
8,201777,"",29.6041,178838,178838,PP
8,201609,"",29.7262,178838,178838,PP
8,201605,"",29.809,178838,178838,PP
8,201585,"",29.8906,178838,178838,PP
8,201550,"",29.9908,178838,178838,PP
8,201550,"",30.0649,178838,178838,PP
8,201537,"",30.1561,178838,178838,PP
8,201485,"",30.2398,178838,178838,PP
8,201413,"",30.3412,178838,178838,PP
8,201380,"",30.4289,178838,178838,PP
8,201350,"",30.5128,178838,178838,PP
8,201350,"",30.6238,178838,178838,PP
8,201331,"",30.7072,178838,178838,PP
8,201316,"",30.7813,178838,178838,PP
8,201311,"",30.8932,178838,178838,PP
8,201310,"",30.9754,178838,178838,PP
8,201309,"",31.0665,178838,178838,PP
8,201180,"",31.1441,178838,178838,PP
8,201180,"",31.2264,178838,178838,PP
8,201180,"",31.3049,178838,178838,PP
8,201177,"",31.3799,178838,178838,PP
8,201174,"",31.4598,178838,178838,PP
8,201041,"",31.5594,178838,178838,PP
8,201020,"",31.6428,178838,178838,PP
8,200997,"",31.716,178838,178838,PP
8,200997,"",31.7993,178838,178838,PP
8,200995,"",31.8894,178838,178838,PP
